,File,Specie ID,FminVoc,FmaxVoc,Fdom,FCC1,FCC2,FCC3,FCC4,FCC5,FCC6,FCC7,FCC8,FCC9,FCC10,FCC11,FCC12,FCC13,FCC14,FCC15,FCC16,FCC17,FCC18,FCC19,FCC20,FCC21,FCC22,FCC23,SpectralCentroid,Bandwidth,SpectralFlatness,Length,DeltaFreq
10472,SMA03328_20210323_200000.wav,Nyctidromus_albicollis,1429.6875,2531.25,2085.297256097561,-1.972152362472162,1.022079503559494,0.908668740334288,-5.709579447298103,0.658741613213752,-1.350604263098746,0.1124865027950517,-8.058213737045467,-0.8516824255493837,-0.715053464740914,0.1059869240313793,-10.22693687882738,-0.3257601015352393,0.9318167828081145,-0.007988499441375752,0.3111974722966527,0.5487974203123077,-0.03008757358379318,-0.3055524132585546,-3.809836495100573,-1.052485825835885,2.009777007103634,0.3411034070332406,1961.722184069697,295.8279131299171,0.6030656099319458,0.32,1101.5625
10490,SMA03328_20210323_200000.wav,Nyctidromus_albicollis,1476.5625,2484.375,2085.342987804878,-2.910746840039131,0.1515499190425086,1.891222752446781,-6.407551756330729,0.846067267155743,-2.29881516466528,-0.2397894328611994,-7.046217778286055,-0.2124875612168045,0.02379811399754617,0.9425769190210268,-12.41432831276866,-0.4900561859977641,0.7864027198310044,0.726651029359866,-0.1930486826878438,0.8068968846804557,0.211617600262832,-0.3881905743623051,-5.397870521428499,-2.017191365987917,1.606484844770623,0.95754314782341,1938.178219999118,266.2643262580281,0.5643343329429626,0.2773333330000001,1007.8125
10519,SMA03328_20210323_200000.wav,Nyctidromus_albicollis,1476.5625,2437.5,2319.489329268293,-2.831733305096354,-0.3425505993395056,2.085721856653671,-6.452452179364315,1.785494373074319,-0.948520443760415,-0.1966704397215198,-8.778818239020001,-0.4497454698982963,-0.3975466563521689,0.9129475376943315,-12.19438434767598,-0.7187315858483759,0.6373847708210321,0.495218804652273,-0.674652612394512,0.7043339064159927,0.3266451233868459,-0.5301676840004662,-3.566770219892055,-2.443106897060376,0.8204506357970552,0.9323317816665663,1911.810739243349,277.9717162817921,0.5591456294059753,0.2880000000000003,960.9375
10528,SMA03328_20210323_200000.wav,Nyctidromus_albicollis,1171.875,2507.8125,2131.875,-2.011231653928387,1.185909314468891,1.772807581457919,-9.594257061393192,-2.013458035851869,2.271581944039987,0.2900665879767527,-7.231587294095507,-1.418730015802531,-2.122104189059598,1.635612322813541,-5.81572656008027,1.802057003582717,-0.6933170706594318,0.4346524764381477,1.370803984105907,1.271096219170368,-0.6264087950427742,-0.4460517016732573,0.5409896415052189,1.611506700654365,0.1715572444145352,0.1408905735528867,1740.335232912568,360.9095071712391,0.5186998248100281,0.4693333330000007,1335.9375
10538,SMA03328_20210323_200000.wav,Nyctidromus_albicollis,1195.3125,2367.1875,1967.995426829268,-1.981665220103519,-2.078994815737895,1.771177927996776,-7.029148730679577,3.009318144424999,-0.5170473713016194,-0.1555904975864635,-9.482527627048198,-0.4418180999819259,-1.145943625367555,0.2452307418499664,-12.49673027045661,0.2265787458673485,0.8943922296852633,-0.3264173160445656,-0.8436152946810971,0.7360813219902888,0.9911290151410528,-0.6991984146804473,-2.975469149571073,-2.161293259339621,0.2391942053082716,0.6775601838443539,1830.058428897319,307.4246121907848,0.5440922379493713,0.3200000000000012,1171.875
10558,SMA03328_20210323_200000.wav,Nyctidromus_albicollis,1382.8125,2320.3125,1827.690548780488,-3.261400731104251,1.542383681957089,1.553577389819315,-7.497598670424827,0.6089840558264051,-2.39856554344872,0.2099535456610563,-10.52723859826293,0.1781005850100146,-0.6227142534395479,0.5867052918220443,-14.52262229802106,0.4811548216268564,-0.04010990684142746,0.8060962454824282,0.3668695026407326,1.247518517577036,-0.5274978629328388,-0.2491603814456288,-6.060507917638276,-1.783665275156907,2.261776786001965,0.7815073989093212,1858.893856873673,242.8049937243508,0.547828197479248,0.2666666670000009,937.5
10588,SMA03328_20210323_200000.wav,Nyctidromus_albicollis,1429.6875,2390.625,1897.980182926829,-1.692358352197931,-2.291952764453362,0.7539316917726349,-7.232875619674858,2.145731511181691,-1.73431659999142,-0.4608594248476989,-8.291068184260991,-1.007676315017544,-0.9807334917814756,0.8128873006915089,-11.78012086056191,-0.4464802276786041,0.3669198026237797,0.8483055694143975,-0.9218388069912056,0.415292708173109,0.8862908556923804,0.03145795921392088,-2.635390748107175,-1.638446888020341,0.3950085649716567,0.6251046926716112,1909.280673126372,261.2746762778432,0.6127455830574036,0.2986666670000009,960.9375
10599,SMA03328_20210323_200000.wav,Nyctidromus_albicollis,1195.3125,2507.8125,2295.800304878049,-1.793360956937212,2.218107584071554,0.5783606599054711,-8.859490656397872,-2.614664091422224,1.879482780080979,1.110970114541209,-5.663825612366534,-0.04967494681784057,-2.510366245293869,0.7087003471613994,-5.920472052096558,1.187450427703917,-0.3068165906602605,1.273302629242276,1.272948814162676,0.9936037948803764,-0.8416413915772715,0.2316473231122683,-0.56823713895837,1.029214254503385,1.271087229312091,0.01599641372256938,1744.196926009135,376.2540744763243,0.4832336604595184,0.4693333329999998,1312.5
10608,SMA03328_20210323_200000.wav,Nyctidromus_albicollis,1476.5625,2367.1875,1968.269817073171,-3.004650873740442,1.360009148621365,2.928123047205754,-6.846816425557749,0.6477236605602215,-1.315215472555395,0.9196693976561848,-10.69700894974709,-1.266723525018076,0.1637028545925919,0.4651439395324532,-13.72960254357973,0.1081346745955327,0.5775273346056007,0.9873819597641964,0.3625694597563142,1.037595182778658,-0.2608272713385881,-0.6469136958138527,-5.501544045561783,-1.138758167343527,1.544524550594884,1.265345834890656,1906.11396460632,247.9817797707167,0.5266030430793762,0.2986666660000008,890.625
10627,SMA03328_20210323_200000.wav,Nyctidromus_albicollis,1500.0,2273.4375,1851.219512195122,-4.876131107601728,-0.526156685763794,0.8568307377969473,-6.826469791093154,1.782806759169443,-1.273843852794001,0.2320877358705493,-9.51084595196693,-1.364675944944297,-1.119076091291045,-0.5892546884606038,-14.84529703028115,-0.5658409283419862,-0.1424985176554,0.3676965373975369,-0.5740798912034961,1.43676339308658,0.1278860560361313,-0.1630447334664701,-5.81551932194586,-2.93005142508443,0.8621323703329262,0.7908471138922694,1867.011631064879,210.3147128106953,0.5260869264602661,0.298666665999999,773.4375
